bydel_pdf;kvarter_code;kvarter_name;omrkk_bydel;bydel_name;split;population_check
Amager Vest;21201;Amagerbro vest;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21202;Bryggen Syd;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21203;Faste Batteri;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21204;Gamle Bryggen;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21205;Grønjordssøen (Ørestad Nord, Vejlands Kvarter);1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21206;Kolonihavekvarteret;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21207;Sundbyvester;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21208;Sundholmsvejs kvarteret;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21209;Urbanplanen;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21210;Ørestad City;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
Amager Vest;21211;Ørestad Syd;1010;Amager Vest;lokaludvalg;quarters 91 397 vs PDF 91 678 (-0.3 %)
