year;kunta;name;pct
2026;592;Petäjävesi;9.9
2026;593;Pieksämäki;9.4
2026;595;Pielavesi;9.1
2026;598;Pietarsaari;9.0
2026;599;Pedersören kunta;9.3
2026;601;Pihtipudas;8.9
2026;604;Pirkkala;7.9
2026;607;Polvijärvi;9.0
2026;608;Pomarkku;10.9
2026;609;Pori;8.7
2026;611;Pornainen;8.3
2026;614;Posio;9.1
2026;615;Pudasjärvi;9.5
2026;616;Pukkila;10.4
2026;619;Punkalaidun;9.4
2026;620;Puolanka;8.9
2026;623;Puumala;6.6
2026;624;Pyhtää;8.1
2026;625;Pyhäjoki;7.9
2026;626;Pyhäjärvi;9.1
2026;630;Pyhäntä;8.0
2026;631;Pyhäranta;9.1
2026;635;Pälkäne;8.9
2026;636;Pöytyä;8.6
2026;638;Porvoo;7.1
2026;678;Raahe;9.1
2026;680;Raisio;7.6
2026;681;Rantasalmi;9.4
2026;683;Ranua;8.1
2026;684;Rauma;7.9
2026;686;Rautalampi;9.9
2026;687;Rautavaara;9.4
2026;689;Rautjärvi;8.5
2026;691;Reisjärvi;10.2
2026;694;Riihimäki;7.9
2026;697;Ristijärvi;9.3
2026;698;Rovaniemi;8.9
2026;700;Ruokolahti;8.6
2026;702;Ruovesi;9.4
2026;704;Rusko;7.3
2026;707;Rääkkylä;9.9
2026;710;Raasepori;9.3
2026;729;Saarijärvi;9.3
2026;732;Salla;8.9
2026;734;Salo;8.1
2026;736;Saltvik;18.5
2026;738;Sauvo;8.8
2026;739;Savitaipale;8.9
2026;740;Savonlinna;9.3
2026;742;Savukoski;9.1
2026;743;Seinäjoki;9.2
2026;746;Sievi;9.6
2026;747;Siikainen;9.4
2026;748;Siikajoki;9.4
2026;749;Siilinjärvi;9.4
2026;751;Simo;9.4
2026;753;Sipoo;6.8
2026;755;Siuntio;8.6
2026;758;Sodankylä;7.5
2026;759;Soini;9.1
2026;761;Somero;8.5
2026;762;Sonkajärvi;8.6
2026;765;Sotkamo;8.5
2026;766;Sottunga;18.0
2026;768;Sulkava;8.4
2026;771;Sund;19.0
2026;777;Suomussalmi;8.9
2026;778;Suonenjoki;9.1
2026;781;Sysmä;6.4
2026;783;Säkylä;8.9
2026;785;Vaala;8.3
2026;790;Sastamala;8.9
2026;791;Siikalatva;9.3
2026;831;Taipalsaari;8.4
2026;832;Taivalkoski;8.5
2026;833;Taivassalo;6.9
2026;834;Tammela;8.9
2026;837;Tampere;7.6
2026;844;Tervo;9.9
2026;845;Tervola;6.9
2026;846;Teuva;9.6
2026;848;Tohmajärvi;9.1
2026;849;Toholampi;9.9
2026;850;Toivakka;9.4
2026;851;Tornio;8.7
2026;853;Turku;7.1
2026;854;Pello;9.5
2026;857;Tuusniemi;9.9
2026;858;Tuusula;7.3
2026;859;Tyrnävä;9.9
2026;886;Ulvila;9.4
2026;887;Urjala;10.3
2026;889;Utajärvi;8.4
2026;890;Utsjoki;8.9
2026;892;Uurainen;9.2
2026;893;Uusikaarlepyy;8.6
2026;895;Uusikaupunki;8.9
2026;905;Vaasa;8.4
2026;908;Valkeakoski;9.1
2026;915;Varkaus;9.3
2026;918;Vehmaa;9.1
2026;921;Vesanto;9.5
2026;922;Vesilahti;9.3
2026;924;Veteli;9.8
2026;925;Vieremä;8.4
2026;927;Vihti;7.8
2026;931;Viitasaari;8.4
2026;934;Vimpeli;9.8
2026;935;Virolahti;10.1
2026;936;Virrat;8.6
2026;941;Vårdö;19.0
2026;946;Vöyri;9.2
2026;976;Ylitornio;8.4
2026;977;Ylivieska;10.3
2026;980;Ylöjärvi;9.2
2026;981;Ypäjä;9.3
2026;989;Ähtäri;10.6
2026;992;Äänekoski;9.4
