level;code;name;parent;indicator;label;unit;value;period;inherited_from;source;tables
kunta;005;Alajärvi;South Ostrobothnia;fc_0_6;Projected change, aged 0–6;%;-2.27;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_7_15;Projected change, aged 7–15;%;-32.32;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_20_34;Projected change, aged 20–34;%;-0.87;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_20_34_rel;Projected 20–34 share vs Finland;pp;-4.767;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;fc_80p;Projected change, aged 80+;%;53.3;2040;;Tilastokeskus vaenn 14wx, Väestöennuste 2024 (published 2024-10-24);vaenn/14wx
kunta;005;Alajärvi;South Ostrobothnia;crime_1000;Reported offences;per 1,000 inh.;52.99;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;005;Alajärvi;South Ostrobothnia;violence_1000;Violent offences;per 1,000 inh.;5.9;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;005;Alajärvi;South Ostrobothnia;property_1000;Property offences;per 1,000 inh.;15.14;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;005;Alajärvi;South Ostrobothnia;vandalism_1000;Criminal damage;per 1,000 inh.;2.67;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;005;Alajärvi;South Ostrobothnia;drugs_1000;Narcotics offences;per 1,000 inh.;1.45;2025;;Tilastokeskus rpk 13h4 (offences per 1 000 population in the area);rpk/13h4
kunta;005;Alajärvi;South Ostrobothnia;burglary_1000dw;Dwelling burglary;per 1,000 dwellings;0.8;2025;;Tilastokeskus rpk 13ex (offences known to the authorities) ÷ Paavo dwelling stock;rpk/13ex
kunta;005;Alajärvi;South Ostrobothnia;crime_trend;Reported offences, year on year;%;8.34;2025;;Tilastokeskus rpk 13h4;rpk/13h4
kunta;005;Alajärvi;South Ostrobothnia;radon_mean;Radon, mean;Bq/m³;72.0;2023;;Säteilyturvakeskus (STUK) — radon pientaloissa 2023 (CC BY 4.0);climate/radon
kunta;005;Alajärvi;South Ostrobothnia;radon_median;Radon, median;Bq/m³;60.0;2023;;Säteilyturvakeskus (STUK) — radon pientaloissa 2023 (CC BY 4.0);climate/radon
kunta;005;Alajärvi;South Ostrobothnia;radon_over300;Radon over 300 Bq/m³;% of measurements;1.0;2023;;Säteilyturvakeskus (STUK) — radon pientaloissa 2023 (CC BY 4.0);climate/radon
kunta;005;Alajärvi;South Ostrobothnia;dw_pre1980;Dwellings in buildings built before 1980;% of dwellings;41.32;2026;;Ryhti-rakennustietojärjestelmä — avoimet_rakennukset (Suomen ympäristökeskus, CC BY 4.0);ryhti/avoimet_rakennukset
kunta;005;Alajärvi;South Ostrobothnia;bld_m2_per_dwelling;Floor area per dwelling;m²;81.4;2026;;Ryhti-rakennustietojärjestelmä — avoimet_rakennukset (Suomen ympäristökeskus, CC BY 4.0);ryhti/avoimet_rakennukset
kunta;009;Alavieska;North Ostrobothnia;growth;Population growth;% / yr;-1.08;2025;;Tilastokeskus vaerak 11re (kunta, 31 Dec) · Paavo 12f7 (postinumero);vaerak/11re · Postinumeroalueittainen_avoin_tieto:uusin/12f7
kunta;009;Alavieska;North Ostrobothnia;income_med;Median income of inhabitants;€ / yr;24216;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;income_hh;Mean household income;€ / yr;46761;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;young;Share aged 20–34;%;13.24;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;single;One-person households;%;40.63;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;renters;Renter households;%;19.67;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;unemp;Unemployment rate;%;9.25;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;higher_ed;Tertiary education;%;20.09;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;flats;Dwellings in blocks of flats;%;1.92;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;avg_m2;Average dwelling size;m²;97.3;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;m2_person;Floor area per person;m²;46.8;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;unemp_m;Unemployment rate, monthly;%;7.5;2026M08;;Tilastokeskus / TEM tyonv 12tf (työnvälitystilasto, monthly);tyonv/12tf
kunta;009;Alavieska;North Ostrobothnia;kela;Housing-allowance households;%;6.93;2024;;Kela, yleinen asumistuki, saajaruokakunnat kunnittain (avoindata.suomi.fi, CC BY 4.0) · denominator Tilastokeskus Paavo 12f8 te_taly;kela/yleinen_asumistuki · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;009;Alavieska;North Ostrobothnia;price_rt;Terraced houses, price per m²;€ / m²;588.0;2025;;Tilastokeskus ashi 13mu / 13mt (postinumero) · 13mx (kunta);ashi/13mt · ashi/13mu · ashi/13mx
kunta;009;Alavieska;North Ostrobothnia;rent;Free-market rent;€ / m² / month;13.64;2026Q2;maakunta;Tilastokeskus asvu 15fa (rents, quarterly);asvu/15fa
